Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-45B_XenofilteR.1	-	contig001381	+	12655	13070	236.108429	10562.845703	13262.628906
Sample_TB-2463-45B_XenofilteR.2	-	contig001815	+	14680	14908	6.248909	244.826874	307.402771
Sample_TB-2463-45B_XenofilteR.3	-	contig001976	-	36	260	238.155960	10277.730469	12904.640625
Sample_TB-2463-45B_XenofilteR.4	-	contig002710	-	573	1212	2002.806885	79774.226562	100163.921875
Sample_TB-2463-45B_XenofilteR.5	-	contig002721	+	5209	5854	35.085140	1451.508301	1822.502930
Sample_TB-2463-45B_XenofilteR.6	-	contig002721	+	9166	9420	12.215686	878.227295	1102.695557
Sample_TB-2463-45B_XenofilteR.7	-	contig002715	-	4	425	573.171082	31257.367188	39246.511719
Sample_TB-2463-45B_XenofilteR.8	-	contig002715	+	1134	1890	355.119690	85422.203125	107255.468750
Sample_TB-2463-45B_XenofilteR.9	-	contig002715	-	2123	2762	1995.187256	79604.664062	99951.015625
Sample_TB-2463-45B_XenofilteR.10	-	contig003219	+	1093	8379	1.711399	83.903931	105.349144
Sample_TB-2463-45B_XenofilteR.11	-	contig002997	+	13296	13535	2178.258545	86638.539062	108782.695312
Sample_TB-2463-45B_XenofilteR.12	-	contig003869	-	7065	7311	164.394135	6688.268066	8397.739258
Sample_TB-2463-45B_XenofilteR.13	-	contig003869	.	8065	8303	0.000752	16944.599609	21275.511719
Sample_TB-2463-45B_XenofilteR.14	-	contig003869	-	10995	12015	72.984070	3478.711670	4367.844238
Sample_TB-2463-45B_XenofilteR.15	-	contig004237	-	1008	1647	1918.961304	76419.507812	95951.757812
Sample_TB-2463-45B_XenofilteR.16	-	contig006570	-	573	1216	1871.155640	75130.375000	94333.125000
Sample_TB-2463-45B_XenofilteR.17	-	contig000693	+	17474	17697	251.744736	10401.808594	13060.431641
Sample_TB-2463-45B_XenofilteR.18	-	contig000878	+	284	536	5.761527	235.126404	295.222931
Sample_TB-2463-45B_XenofilteR.19	-	contig000879	+	8533	8749	340.839203	13437.787109	16872.382812
Sample_TB-2463-45B_XenofilteR.20	-	contig008316	-	151	731	1622.583130	66292.312500	83236.125000
Sample_TB-2463-45B_XenofilteR.21	-	contig008316	+	812	2196	1289.469727	58753.613281	73770.585938
Sample_TB-2463-45B_XenofilteR.22	-	contig008316	+	2942	3160	199.637421	8171.399902	10259.947266
Sample_TB-2463-45B_XenofilteR.23	-	contig008316	+	3599	4379	1860.326538	74287.226562	93274.476562
