Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-39B_XenofilteR.1	-	contig001381	+	9263	9607	11.696959	1220.965454	2335.562988
Sample_TB-2463-39B_XenofilteR.2	-	contig001976	-	36	259	63.988800	6955.021973	13304.136719
Sample_TB-2463-39B_XenofilteR.3	-	contig002710	-	573	1222	645.400818	62991.074219	120494.492188
Sample_TB-2463-39B_XenofilteR.4	-	contig002721	+	5209	5854	20.811146	2045.904541	3913.574219
Sample_TB-2463-39B_XenofilteR.5	-	contig002721	+	9174	9478	8.268852	1156.428101	2212.110352
Sample_TB-2463-39B_XenofilteR.6	-	contig002715	-	2123	2772	644.734741	63028.269531	120565.648438
Sample_TB-2463-39B_XenofilteR.7	-	contig002997	+	13289	13538	662.599854	64999.019531	124335.453125
Sample_TB-2463-39B_XenofilteR.8	-	contig003869	-	11011	11293	101.479362	12661.131836	24219.251953
Sample_TB-2463-39B_XenofilteR.9	-	contig004237	-	1008	1657	618.465393	60347.878906	115438.375000
Sample_TB-2463-39B_XenofilteR.10	-	contig006570	-	573	1226	610.054443	60435.566406	115606.125000
Sample_TB-2463-39B_XenofilteR.11	-	contig008316	+	813	2196	539.846985	60089.148438	114943.445312
Sample_TB-2463-39B_XenofilteR.12	-	contig008316	+	3677	4229	1218.284302	119300.273438	228207.359375
Sample_TB-2463-39B_XenofilteR.13	-	contig000693	+	17463	17697	58.659489	6304.814453	12060.366211
Sample_TB-2463-39B_XenofilteR.14	-	contig000879	+	7878	8222	11.899858	1235.885254	2364.102539
