Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-42B_XenofilteR.1	-	contig001381	+	9925	10134	463.579437	15335.451172	17356.955078
Sample_TB-2463-42B_XenofilteR.2	-	contig001381	+	12872	13129	514.702454	19288.505859	21831.097656
Sample_TB-2463-42B_XenofilteR.3	-	contig001381	+	13866	14191	127.279335	4398.798340	4978.643066
Sample_TB-2463-42B_XenofilteR.4	-	contig001777	+	13479	13707	6.139738	224.505219	254.099274
Sample_TB-2463-42B_XenofilteR.5	-	contig001976	-	34	263	232.161758	8759.210938	9913.840820
Sample_TB-2463-42B_XenofilteR.6	-	contig002710	-	573	1215	2192.764160	73823.140625	83554.437500
Sample_TB-2463-42B_XenofilteR.7	-	contig002721	+	8967	9462	11.106854	504.931549	571.491150
Sample_TB-2463-42B_XenofilteR.8	-	contig002715	-	4	425	659.562012	29313.886719	33178.011719
Sample_TB-2463-42B_XenofilteR.9	-	contig002715	+	1127	1896	376.211853	84935.109375	96131.179688
Sample_TB-2463-42B_XenofilteR.10	-	contig002715	-	2123	2765	2183.961914	73663.476562	83373.726562
Sample_TB-2463-42B_XenofilteR.11	-	contig002997	+	13291	13533	2315.494873	78072.859375	88364.343750
Sample_TB-2463-42B_XenofilteR.12	-	contig003869	-	6978	7332	212.114838	7568.843262	8566.560547
Sample_TB-2463-42B_XenofilteR.13	-	contig003869	.	8090	8295	-0.000379	22023.783203	24926.935547
Sample_TB-2463-42B_XenofilteR.14	-	contig003869	-	11521	11999	35.181667	1292.955688	1463.391724
Sample_TB-2463-42B_XenofilteR.15	-	contig004237	+	151	781	415.279999	84476.125000	95611.687500
Sample_TB-2463-42B_XenofilteR.16	-	contig004237	-	1008	1650	2101.870117	70785.820312	80116.734375
Sample_TB-2463-42B_XenofilteR.17	-	contig006570	-	572	1219	2047.149658	69548.359375	78716.148438
Sample_TB-2463-42B_XenofilteR.18	-	contig000693	+	17470	17703	245.996658	8783.524414	9941.359375
Sample_TB-2463-42B_XenofilteR.19	-	contig000878	+	284	536	9.928849	361.135620	408.740173
Sample_TB-2463-42B_XenofilteR.20	-	contig008316	-	151	731	2075.277588	71298.445312	80696.937500
Sample_TB-2463-42B_XenofilteR.21	-	contig008316	+	1087	2197	1734.540039	67417.906250	76304.867188
Sample_TB-2463-42B_XenofilteR.22	-	contig008316	+	2957	3160	280.708344	9614.410156	10881.772461
Sample_TB-2463-42B_XenofilteR.23	-	contig008316	+	3499	4379	1971.407959	66640.437500	75424.914062
Sample_TB-2463-42B_XenofilteR.24	-	contig000879	+	7846	8308	35.743061	1363.187622	1542.881592
Sample_TB-2463-42B_XenofilteR.25	-	contig000879	+	8517	8749	424.022308	14038.685547	15889.250000
