Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-37B_XenofilteR.1	-	contig001381	+	9263	9731	18.188818	1207.671997	1957.822876
Sample_TB-2463-37B_XenofilteR.2	-	contig001381	+	12872	13129	390.624481	25556.519531	41431.066406
Sample_TB-2463-37B_XenofilteR.3	-	contig001976	-	36	272	119.965363	7893.281738	12796.228516
Sample_TB-2463-37B_XenofilteR.4	-	contig002710	-	573	1224	1088.263794	64923.277344	105250.664062
Sample_TB-2463-37B_XenofilteR.5	-	contig002721	-	5631	5840	4.866667	2024.622314	3282.225586
Sample_TB-2463-37B_XenofilteR.6	-	contig002721	+	9186	9462	10.079422	835.939331	1355.186890
Sample_TB-2463-37B_XenofilteR.7	-	contig002715	-	4	425	465.562347	35574.101562	57671.113281
Sample_TB-2463-37B_XenofilteR.8	-	contig002715	-	941	2774	946.331848	61940.011719	100414.328125
Sample_TB-2463-37B_XenofilteR.9	-	contig002997	+	13294	13534	1079.701050	64407.984375	104415.289062
Sample_TB-2463-37B_XenofilteR.10	-	contig003869	-	8038	8517	205.602737	12382.592773	20074.097656
Sample_TB-2463-37B_XenofilteR.11	-	contig003869	-	11031	11963	54.865982	3806.784180	6171.385254
Sample_TB-2463-37B_XenofilteR.12	-	contig004237	-	1006	1659	1043.487061	62278.625000	100963.273438
Sample_TB-2463-37B_XenofilteR.13	-	contig006570	-	571	1228	1010.786560	60710.109375	98420.460938
Sample_TB-2463-37B_XenofilteR.14	-	contig008316	-	151	731	1478.329224	90097.015625	146061.171875
Sample_TB-2463-37B_XenofilteR.15	-	contig008316	+	2957	3164	191.878281	11728.431641	19013.597656
Sample_TB-2463-37B_XenofilteR.16	-	contig000382	+	3296	3571	9.994565	602.167786	976.206970
Sample_TB-2463-37B_XenofilteR.17	-	contig008316	+	3531	4379	1450.305908	86899.523438	140877.546875
Sample_TB-2463-37B_XenofilteR.18	-	contig000693	+	17461	17703	129.101135	8007.237305	12980.969727
Sample_TB-2463-37B_XenofilteR.19	-	contig000878	+	284	536	6.714101	410.983124	666.267151
Sample_TB-2463-37B_XenofilteR.20	-	contig000879	+	8033	8261	29.854490	1841.826538	2985.885498
Sample_TB-2463-37B_XenofilteR.21	-	contig000879	+	8540	8749	229.542267	13418.759766	21753.882812
Sample_TB-2463-37B_XenofilteR.22	-	contig000038	-	15727	15929	5.078818	296.901459	481.323151
