Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-40B_XenofilteR.1	-	contig001381	+	12650	13211	163.046158	8202.487305	13437.285156
Sample_TB-2463-40B_XenofilteR.2	-	contig001976	-	36	270	124.383942	6540.986328	10715.421875
Sample_TB-2463-40B_XenofilteR.3	-	contig002710	-	573	1222	1627.835815	75634.968750	123904.937500
Sample_TB-2463-40B_XenofilteR.4	-	contig002721	+	9159	9420	25.246183	1589.195190	2603.414062
Sample_TB-2463-40B_XenofilteR.5	-	contig002715	-	4	430	492.045929	28798.187500	47177.089844
Sample_TB-2463-40B_XenofilteR.6	-	contig002715	-	2123	2772	1628.379761	75912.976562	124360.367188
Sample_TB-2463-40B_XenofilteR.7	-	contig003219	-	1123	8346	1.091585	138.447800	226.804703
Sample_TB-2463-40B_XenofilteR.8	-	contig002997	+	13289	13538	1740.355347	81082.843750	132829.625000
Sample_TB-2463-40B_XenofilteR.9	-	contig003869	-	7065	7292	184.733200	8891.200195	14565.533203
Sample_TB-2463-40B_XenofilteR.10	-	contig003869	-	8038	8542	185.109970	8624.994141	14129.434570
Sample_TB-2463-40B_XenofilteR.11	-	contig003869	-	11031	11293	166.771957	9655.706055	15817.943359
Sample_TB-2463-40B_XenofilteR.12	-	contig003869	-	11538	11929	16.118572	780.088013	1277.937378
Sample_TB-2463-40B_XenofilteR.13	-	contig004237	-	1008	1657	1586.716309	73777.226562	120861.601562
Sample_TB-2463-40B_XenofilteR.14	-	contig006570	-	573	1226	1550.593506	72870.476562	119376.148438
Sample_TB-2463-40B_XenofilteR.15	-	contig000693	+	17463	17697	147.539505	7179.583496	11761.568359
Sample_TB-2463-40B_XenofilteR.16	-	contig000879	+	8535	8749	257.824249	11799.959961	19330.654297
Sample_TB-2463-40B_XenofilteR.17	-	contig008316	+	812	2196	1121.678467	59855.738281	98055.460938
Sample_TB-2463-40B_XenofilteR.18	-	contig008316	+	3473	4379	1693.865845	79092.328125	129568.765625
