Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-43B_XenofilteR.1	-	contig001381	+	9206	9731	20.017971	978.366272	1475.047485
Sample_TB-2463-43B_XenofilteR.2	-	contig001381	+	12879	13118	457.750397	22603.587891	34078.613281
Sample_TB-2463-43B_XenofilteR.3	-	contig001976	-	36	257	151.641510	7567.617188	11409.423828
Sample_TB-2463-43B_XenofilteR.4	-	contig002700	-	16744	17234	7.490150	341.031799	514.161316
Sample_TB-2463-43B_XenofilteR.5	-	contig002710	-	573	1222	1445.831543	65494.035156	98742.992188
Sample_TB-2463-43B_XenofilteR.6	-	contig002721	+	8967	9526	8.960714	558.644165	842.247620
Sample_TB-2463-43B_XenofilteR.7	-	contig002715	-	4	425	481.010040	28918.900391	43599.984375
Sample_TB-2463-43B_XenofilteR.8	-	contig002715	-	2123	2759	1466.435181	66653.984375	100491.804688
Sample_TB-2463-43B_XenofilteR.9	-	contig002997	+	13293	13533	1622.047241	73572.015625	110921.875000
Sample_TB-2463-43B_XenofilteR.10	-	contig003869	-	7065	7305	227.434357	10536.609375	15885.666016
Sample_TB-2463-43B_XenofilteR.11	-	contig003869	-	8054	8507	239.008621	10957.926758	16520.871094
Sample_TB-2463-43B_XenofilteR.12	-	contig003869	-	11007	11997	66.224342	3569.824219	5382.095215
Sample_TB-2463-43B_XenofilteR.13	-	contig004237	-	1007	1657	1380.116699	62577.148438	94345.304688
Sample_TB-2463-43B_XenofilteR.14	-	contig006570	-	572	1226	1341.511841	61535.363281	92774.648438
Sample_TB-2463-43B_XenofilteR.15	-	contig000693	+	17476	17697	158.048813	7420.295898	11187.312500
Sample_TB-2463-43B_XenofilteR.16	-	contig000878	+	284	536	5.907114	293.545044	442.567261
Sample_TB-2463-43B_XenofilteR.17	-	contig000879	+	7878	8308	22.628639	1134.383911	1710.269653
Sample_TB-2463-43B_XenofilteR.18	-	contig000879	+	8535	8749	297.395844	13219.537109	19930.619141
Sample_TB-2463-43B_XenofilteR.19	-	contig008316	-	151	736	1771.465332	81796.898438	123322.234375
Sample_TB-2463-43B_XenofilteR.20	-	contig008316	+	812	2197	1142.903564	58422.195312	88081.046875
Sample_TB-2463-43B_XenofilteR.21	-	contig008316	+	2957	3164	193.505066	8963.852539	13514.477539
Sample_TB-2463-43B_XenofilteR.22	-	contig008316	+	3497	4379	1666.019287	76162.023438	114826.742188
