Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-41B_XenofilteR.1	-	contig001381	+	9199	9732	14.228016	1010.292236	1542.485229
Sample_TB-2463-41B_XenofilteR.2	-	contig001381	+	12646	13066	167.043884	12041.968750	18385.332031
Sample_TB-2463-41B_XenofilteR.3	-	contig001976	-	34	266	107.640404	7847.341309	11981.095703
Sample_TB-2463-41B_XenofilteR.4	-	contig002700	-	16747	17105	7.768342	504.623352	770.444458
Sample_TB-2463-41B_XenofilteR.5	-	contig002710	-	573	1218	1036.576782	68080.914062	103943.984375
Sample_TB-2463-41B_XenofilteR.6	-	contig002721	+	5201	5855	26.064121	1770.687866	2703.435303
Sample_TB-2463-41B_XenofilteR.7	-	contig002721	+	9159	9425	9.097379	644.710510	984.325623
Sample_TB-2463-41B_XenofilteR.8	-	contig002715	-	4	425	368.172760	31717.480469	48425.339844
Sample_TB-2463-41B_XenofilteR.9	-	contig002715	-	2123	2768	1033.728271	68107.468750	103984.531250
Sample_TB-2463-41B_XenofilteR.10	-	contig002997	+	13296	13538	1074.244263	70913.421875	108268.585938
Sample_TB-2463-41B_XenofilteR.11	-	contig003869	-	7065	7292	181.817703	12472.881836	19043.238281
Sample_TB-2463-41B_XenofilteR.12	-	contig003869	-	8102	8496	160.568695	10667.037109	16286.125977
Sample_TB-2463-41B_XenofilteR.13	-	contig003869	-	10943	11293	100.352585	7993.647949	12204.472656
Sample_TB-2463-41B_XenofilteR.14	-	contig004237	+	151	780	205.774658	80472.234375	122862.695312
Sample_TB-2463-41B_XenofilteR.15	-	contig004237	-	1006	1653	997.385925	65524.964844	100041.640625
Sample_TB-2463-41B_XenofilteR.16	-	contig006570	-	572	1222	973.846497	64486.796875	98456.585938
Sample_TB-2463-41B_XenofilteR.17	-	contig000693	+	17471	17699	113.282555	7923.230469	12096.960938
Sample_TB-2463-41B_XenofilteR.18	-	contig008316	+	537	2197	653.601685	62710.046875	95743.898438
Sample_TB-2463-41B_XenofilteR.19	-	contig008316	+	2957	3160	139.464462	9620.583984	14688.431641
Sample_TB-2463-41B_XenofilteR.20	-	contig008316	+	3537	4379	1067.591919	70466.609375	107586.398438
