Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-34B_XenofilteR.1	-	contig001381	+	12751	13094	166.601181	12560.655273	18147.400391
Sample_TB-2463-34B_XenofilteR.2	-	contig001777	+	13479	13708	4.986957	366.693176	529.791321
Sample_TB-2463-34B_XenofilteR.3	-	contig001976	-	36	259	103.386406	8090.317871	11688.739258
Sample_TB-2463-34B_XenofilteR.4	-	contig002710	-	573	1211	1257.730835	84542.664062	122145.656250
Sample_TB-2463-34B_XenofilteR.5	-	contig002721	+	8978	9420	6.670429	512.269287	740.117004
Sample_TB-2463-34B_XenofilteR.6	-	contig002715	+	1268	1896	264.753815	97760.210938	141242.109375
Sample_TB-2463-34B_XenofilteR.7	-	contig002715	-	2123	2761	1260.054932	84831.937500	122563.593750
Sample_TB-2463-34B_XenofilteR.8	-	contig002997	+	13289	13533	1281.133301	86198.664062	124538.218750
Sample_TB-2463-34B_XenofilteR.9	-	contig003869	-	11563	12022	16.696194	1165.306396	1683.612671
Sample_TB-2463-34B_XenofilteR.10	-	contig004237	-	1006	1646	1205.143066	80966.140625	116978.351562
Sample_TB-2463-34B_XenofilteR.11	-	contig006570	-	571	1215	1188.690430	81204.000000	117322.015625
Sample_TB-2463-34B_XenofilteR.12	-	contig000693	+	17474	17703	117.355560	8378.773438	12105.493164
Sample_TB-2463-34B_XenofilteR.13	-	contig008316	-	151	712	764.823120	53080.285156	76689.390625
Sample_TB-2463-34B_XenofilteR.14	-	contig008316	+	1096	2196	859.365662	68170.992188	98492.164062
Sample_TB-2463-34B_XenofilteR.15	-	contig008316	-	4025	4378	41.890202	24317.414062	35133.339844
