Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-32A_XenofilteR.1	-	contig001381	+	12878	13129	136.846878	21675.498047	30158.195312
Sample_TB-2463-32A_XenofilteR.2	-	contig001381	+	13902	14129	43.535107	7245.064453	10080.416016
Sample_TB-2463-32A_XenofilteR.3	-	contig001976	-	34	263	49.647125	8548.983398	11894.623047
Sample_TB-2463-32A_XenofilteR.4	-	contig002710	-	1	1215	276.677063	43478.089844	60493.218750
Sample_TB-2463-32A_XenofilteR.5	-	contig002721	+	9166	9442	10.241878	1949.187622	2712.000977
Sample_TB-2463-32A_XenofilteR.6	-	contig002715	+	4	425	58.208549	49930.437500	69470.695312
Sample_TB-2463-32A_XenofilteR.7	-	contig002715	-	1091	1892	402.647766	72263.890625	100544.328125
Sample_TB-2463-32A_XenofilteR.8	-	contig002715	-	2094	2765	368.592987	56496.980469	78607.039062
Sample_TB-2463-32A_XenofilteR.9	-	contig002997	+	13055	13533	241.510361	37056.414062	51558.421875
Sample_TB-2463-32A_XenofilteR.10	-	contig003869	+	7040	7339	8.671664	12154.954102	16911.789062
Sample_TB-2463-32A_XenofilteR.11	-	contig003869	-	7969	8521	64.134033	9738.494141	13549.649414
Sample_TB-2463-32A_XenofilteR.12	-	contig004237	-	1	1650	305.666260	51221.871094	71267.531250
Sample_TB-2463-32A_XenofilteR.13	-	contig006570	-	1	1219	255.013870	41050.171875	57115.136719
Sample_TB-2463-32A_XenofilteR.14	-	contig000693	+	17470	17699	53.206108	8648.973633	12033.745117
Sample_TB-2463-32A_XenofilteR.15	-	contig008316	-	151	731	739.346619	113996.781250	158609.359375
Sample_TB-2463-32A_XenofilteR.16	-	contig008316	-	1131	2083	73.472786	62526.148438	86995.718750
Sample_TB-2463-32A_XenofilteR.17	-	contig008316	+	2957	3160	93.897423	15035.083008	20919.054688
Sample_TB-2463-32A_XenofilteR.18	-	contig008316	+	3634	4379	687.775330	105709.648438	147079.078125
