Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-33A_XenofilteR.1	-	contig001381	+	12875	13118	290.889801	20552.148438	34722.398438
Sample_TB-2463-33A_XenofilteR.2	-	contig001976	-	36	260	76.241951	5498.811523	9290.119141
Sample_TB-2463-33A_XenofilteR.3	-	contig002710	-	1	1212	695.452515	46121.792969	77921.726562
Sample_TB-2463-33A_XenofilteR.4	-	contig002721	+	8967	9440	6.354430	520.367310	879.148865
Sample_TB-2463-33A_XenofilteR.5	-	contig002715	-	4	425	334.493378	28842.771484	48729.218750
Sample_TB-2463-33A_XenofilteR.6	-	contig002715	-	942	2762	915.425232	62876.914062	106229.132812
Sample_TB-2463-33A_XenofilteR.7	-	contig002997	+	13289	13533	1014.557129	64711.972656	109329.429688
Sample_TB-2463-33A_XenofilteR.8	-	contig003869	-	7065	7265	149.193268	9823.135742	16595.966797
Sample_TB-2463-33A_XenofilteR.9	-	contig003869	-	11031	11963	54.279800	4306.974609	7276.537109
Sample_TB-2463-33A_XenofilteR.10	-	contig004681	+	15212	15736	9.170956	577.054504	974.920715
Sample_TB-2463-33A_XenofilteR.11	-	contig004237	-	282	1647	950.332092	64794.617188	109469.054688
Sample_TB-2463-33A_XenofilteR.12	-	contig006570	-	1	1216	652.561035	44611.832031	75370.695312
Sample_TB-2463-33A_XenofilteR.13	-	contig000693	+	17476	17697	85.738632	5781.666992	9767.997070
Sample_TB-2463-33A_XenofilteR.14	-	contig000879	+	7821	8222	15.079868	1019.976562	1723.227539
Sample_TB-2463-33A_XenofilteR.15	-	contig008316	-	151	727	1042.084473	68411.460938	115579.632812
Sample_TB-2463-33A_XenofilteR.16	-	contig008316	-	1155	2083	171.529556	81365.492188	137465.171875
Sample_TB-2463-33A_XenofilteR.17	-	contig008316	+	3612	4379	1286.336182	82081.953125	138675.625000
