Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-48B_XenofilteR.1	-	contig001777	+	13479	13704	6.840708	359.533081	555.169556
Sample_TB-2463-48B_XenofilteR.2	-	contig001976	-	36	265	143.197220	7513.391602	11601.731445
Sample_TB-2463-48B_XenofilteR.3	-	contig002710	-	573	1217	1497.926636	72197.203125	111482.609375
Sample_TB-2463-48B_XenofilteR.4	-	contig002721	+	9186	9420	14.521506	921.230652	1422.509399
Sample_TB-2463-48B_XenofilteR.5	-	contig002715	-	942	2767	1237.746704	63875.121094	98632.156250
Sample_TB-2463-48B_XenofilteR.6	-	contig002997	+	13291	13538	1621.059326	78222.023438	120785.781250
Sample_TB-2463-48B_XenofilteR.7	-	contig003869	+	11011	11225	62.702377	14322.372070	22115.751953
Sample_TB-2463-48B_XenofilteR.8	-	contig003869	-	11498	11963	17.373703	1026.198120	1584.593994
Sample_TB-2463-48B_XenofilteR.9	-	contig004237	-	282	1652	1341.847778	68484.164062	105749.164062
Sample_TB-2463-48B_XenofilteR.10	-	contig006570	-	573	1221	1399.905640	68074.226562	105116.164062
Sample_TB-2463-48B_XenofilteR.11	-	contig000382	+	3203	3414	9.148600	433.196198	668.915771
Sample_TB-2463-48B_XenofilteR.12	-	contig000693	+	17473	17696	151.857742	7569.806152	11688.842773
Sample_TB-2463-48B_XenofilteR.13	-	contig000878	+	284	525	6.350550	300.705505	464.331512
Sample_TB-2463-48B_XenofilteR.14	-	contig008316	.	180	396	1.833957	75988.898438	117337.523438
Sample_TB-2463-48B_XenofilteR.15	-	contig008316	+	1168	2196	1246.772217	68399.726562	105618.781250
Sample_TB-2463-48B_XenofilteR.16	-	contig008316	+	3687	4215	2262.233398	108730.359375	167894.937500
Sample_TB-2463-48B_XenofilteR.17	-	contig000879	+	7877	8286	18.939552	1177.570190	1818.333740
Sample_TB-2463-48B_XenofilteR.18	-	contig000879	+	8489	8789	210.845932	10013.792969	15462.702148
