Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-38B_XenofilteR.1	-	contig001381	+	9263	9607	5.707128	1142.369507	1746.589600
Sample_TB-2463-38B_XenofilteR.2	-	contig001976	-	37	262	36.621342	7228.437500	11051.690430
Sample_TB-2463-38B_XenofilteR.3	-	contig002710	-	573	1214	433.911011	75428.921875	115324.656250
Sample_TB-2463-38B_XenofilteR.4	-	contig002715	-	2123	2764	430.785828	75078.750000	114789.281250
Sample_TB-2463-38B_XenofilteR.5	-	contig002997	+	13289	13533	480.609955	83300.195312	127359.195312
Sample_TB-2463-38B_XenofilteR.6	-	contig004237	-	1006	1649	416.727386	72343.039062	110606.593750
Sample_TB-2463-38B_XenofilteR.7	-	contig006570	+	1	427	55.673069	44808.246094	68508.148438
Sample_TB-2463-38B_XenofilteR.8	-	contig006570	-	571	1218	412.782166	72819.578125	111335.171875
Sample_TB-2463-38B_XenofilteR.9	-	contig000693	+	17471	17696	36.017952	6635.570801	10145.245117
Sample_TB-2463-38B_XenofilteR.10	-	contig000879	+	7878	8222	5.818238	1167.576904	1785.129761
Sample_TB-2463-38B_XenofilteR.11	-	contig008316	-	151	731	411.388458	72954.906250	111542.093750
Sample_TB-2463-38B_XenofilteR.12	-	contig008316	+	812	2196	280.563141	55599.539062	85007.148438
Sample_TB-2463-38B_XenofilteR.13	-	contig008316	+	3599	4379	493.981750	85550.054688	130799.046875
