Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-35A_XenofilteR.1	-	contig001381	+	9206	9764	10.868375	866.652710	1178.519409
Sample_TB-2463-35A_XenofilteR.2	-	contig001381	+	12879	13129	314.772919	25113.603516	34150.781250
Sample_TB-2463-35A_XenofilteR.3	-	contig001381	+	13877	14191	86.527771	6558.266602	8918.272461
Sample_TB-2463-35A_XenofilteR.4	-	contig001976	-	34	259	118.161400	9273.075195	12610.009766
Sample_TB-2463-35A_XenofilteR.5	-	contig002700	-	16744	17277	6.565543	481.015900	654.110474
Sample_TB-2463-35A_XenofilteR.6	-	contig002710	-	1	1214	686.722046	52842.429688	71857.890625
Sample_TB-2463-35A_XenofilteR.7	-	contig002721	+	9159	9478	10.762500	975.173401	1326.091675
Sample_TB-2463-35A_XenofilteR.8	-	contig002715	-	4	425	491.494568	45077.156250	61298.269531
Sample_TB-2463-35A_XenofilteR.9	-	contig002715	-	941	2764	746.694641	60152.136719	81798.007812
Sample_TB-2463-35A_XenofilteR.10	-	contig002997	+	13063	13538	518.645203	39219.343750	53332.507812
Sample_TB-2463-35A_XenofilteR.11	-	contig003869	-	7041	7338	174.241211	13696.806641	18625.628906
Sample_TB-2463-35A_XenofilteR.12	-	contig003869	-	8038	8553	146.190186	11039.170898	15011.638672
Sample_TB-2463-35A_XenofilteR.13	-	contig003869	-	11031	11300	101.582787	9446.425781	12845.740234
Sample_TB-2463-35A_XenofilteR.14	-	contig003869	-	11553	11963	16.559357	1270.618530	1727.853271
Sample_TB-2463-35A_XenofilteR.15	-	contig004237	+	152	779	160.585571	76106.578125	103493.687500
Sample_TB-2463-35A_XenofilteR.16	-	contig004237	-	1008	1650	886.056763	66190.718750	90009.585938
Sample_TB-2463-35A_XenofilteR.17	-	contig006570	-	573	1218	818.614136	62061.871094	84394.968750
Sample_TB-2463-35A_XenofilteR.18	-	contig000693	+	17471	17699	119.042305	9068.397461	12331.678711
Sample_TB-2463-35A_XenofilteR.19	-	contig000878	+	284	536	5.523711	419.305206	570.192993
Sample_TB-2463-35A_XenofilteR.20	-	contig000879	+	7821	8749	39.357197	2937.273193	3994.256592
Sample_TB-2463-35A_XenofilteR.21	-	contig000038	-	16235	16652	1.829268	133.372223	181.366501
Sample_TB-2463-35A_XenofilteR.22	-	contig008316	-	151	759	1263.485962	95026.804688	129222.390625
Sample_TB-2463-35A_XenofilteR.23	-	contig008316	+	812	2197	643.561096	54301.894531	73842.539062
Sample_TB-2463-35A_XenofilteR.24	-	contig008316	+	2957	3160	175.680939	13706.798828	18639.216797
Sample_TB-2463-35A_XenofilteR.25	-	contig008316	+	3482	4379	1032.586914	79409.226562	107984.796875
