Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-33B_XenofilteR.1	-	contig001381	+	9150	9736	14.548444	906.524414	1316.661621
Sample_TB-2463-33B_XenofilteR.2	-	contig001381	+	12875	13129	262.613831	17300.472656	25127.697266
Sample_TB-2463-33B_XenofilteR.3	-	contig001976	-	34	260	144.902267	9299.082031	13506.250000
Sample_TB-2463-33B_XenofilteR.4	-	contig002710	-	573	1222	1341.665527	78464.828125	113964.523438
Sample_TB-2463-33B_XenofilteR.5	-	contig002721	+	5607	5855	17.072289	1153.508179	1675.387817
Sample_TB-2463-33B_XenofilteR.6	-	contig002721	+	8967	9442	6.789916	529.558350	769.145447
Sample_TB-2463-33B_XenofilteR.7	-	contig002715	-	4	425	413.503510	31007.244141	45035.796875
Sample_TB-2463-33B_XenofilteR.8	-	contig002715	-	2123	2772	1338.027832	78512.156250	114033.281250
Sample_TB-2463-33B_XenofilteR.9	-	contig002997	+	13289	13538	1466.774292	85739.039062	124529.804688
Sample_TB-2463-33B_XenofilteR.10	-	contig003869	-	8054	8517	142.458344	8474.719727	12308.921875
Sample_TB-2463-33B_XenofilteR.11	-	contig003869	-	11031	12012	51.117641	3745.156982	5439.572266
Sample_TB-2463-33B_XenofilteR.12	-	contig004237	-	1008	1657	1300.476685	76079.734375	110500.359375
Sample_TB-2463-33B_XenofilteR.13	-	contig006570	-	573	1226	1263.295532	74519.031250	108233.554688
Sample_TB-2463-33B_XenofilteR.14	-	contig000693	+	17463	17699	144.245499	8731.614258	12682.044922
Sample_TB-2463-33B_XenofilteR.15	-	contig000878	+	284	536	4.528323	310.278290	450.656952
Sample_TB-2463-33B_XenofilteR.16	-	contig008316	-	151	728	1120.977539	67347.671875	97817.664062
Sample_TB-2463-33B_XenofilteR.17	-	contig008316	+	1170	2196	1008.025208	69676.242188	101199.742188
Sample_TB-2463-33B_XenofilteR.18	-	contig008316	+	2957	3164	174.233139	10454.143555	15183.893555
Sample_TB-2463-33B_XenofilteR.19	-	contig008316	+	3535	4379	1123.769043	66251.140625	96225.031250
