Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-31A_XenofilteR.1	-	contig001097	-	2756	3338	1.195584	434.970978	869.099854
Sample_TB-2463-31A_XenofilteR.2	-	contig001104	-	11987	12311	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.3	-	contig001110	-	29383	29825	2.425926	882.587341	1763.466187
Sample_TB-2463-31A_XenofilteR.4	-	contig001121	+	3332	3630	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.5	-	contig001121	+	1573	2107	1.789954	651.211426	1301.162231
Sample_TB-2463-31A_XenofilteR.6	-	contig001124	+	8633	9094	1.880000	683.971558	1366.618896
Sample_TB-2463-31A_XenofilteR.7	-	contig001122	-	11469	12963	4.893383	1811.047852	3618.589600
Sample_TB-2463-31A_XenofilteR.8	-	contig001131	-	16391	16980	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.9	-	contig001139	+	1275	1665	4.035242	1468.080444	2933.318848
Sample_TB-2463-31A_XenofilteR.10	-	contig001146	-	5169	5566	3.000000	1091.443970	2180.774902
Sample_TB-2463-31A_XenofilteR.11	-	contig001179	-	10957	11370	1.497908	544.960876	1088.866699
Sample_TB-2463-31A_XenofilteR.12	-	contig001185	-	11448	11875	2.000000	727.629272	1453.849976
Sample_TB-2463-31A_XenofilteR.13	-	contig001198	+	31807	32112	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.14	-	contig001235	-	20258	20587	9.867647	3589.994385	7173.039062
Sample_TB-2463-31A_XenofilteR.15	-	contig001242	+	11032	11393	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.16	-	contig001242	-	13930	14318	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.17	-	contig001265	+	36388	36753	2.157447	784.910889	1568.302124
Sample_TB-2463-31A_XenofilteR.18	-	contig001292	-	1531	2044	1.229391	447.270447	893.674988
Sample_TB-2463-31A_XenofilteR.19	-	contig001328	-	18783	19084	3.000000	1091.443970	2180.774902
Sample_TB-2463-31A_XenofilteR.20	-	contig001351	-	5014	5578	1.403636	510.663330	1020.338074
Sample_TB-2463-31A_XenofilteR.21	-	contig001368	+	4663	5063	1.052885	383.054993	765.368408
Sample_TB-2463-31A_XenofilteR.22	-	contig001381	+	12845	13049	8.274391	3104.404297	6202.798340
Sample_TB-2463-31A_XenofilteR.23	-	contig001391	+	5768	6325	2.764423	1005.737549	2009.528076
Sample_TB-2463-31A_XenofilteR.24	-	contig001448	+	279	841	1.624464	591.003784	1180.863403
Sample_TB-2463-31A_XenofilteR.25	-	contig001583	-	11547	12096	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.26	-	contig001621	+	3949	4240	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.27	-	contig001622	+	7102	7843	3.529577	1284.111816	2565.737549
Sample_TB-2463-31A_XenofilteR.28	-	contig001623	-	14707	15297	1.330020	483.880737	966.824768
Sample_TB-2463-31A_XenofilteR.29	-	contig001626	+	8685	9084	2.000000	727.629272	1453.849976
Sample_TB-2463-31A_XenofilteR.30	-	contig001626	+	23319	23636	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.31	-	contig001626	+	23796	24237	1.644315	598.225891	1195.293579
Sample_TB-2463-31A_XenofilteR.32	-	contig001629	-	12496	12824	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.33	-	contig001629	+	14615	15202	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.34	-	contig001630	+	29374	29763	1.432258	521.076477	1041.144043
Sample_TB-2463-31A_XenofilteR.35	-	contig001637	+	24308	24754	1.093633	397.879700	794.989136
Sample_TB-2463-31A_XenofilteR.36	-	contig001659	+	22295	22665	1.359712	494.683136	988.408569
Sample_TB-2463-31A_XenofilteR.37	-	contig001681	-	13028	13336	3.192825	1161.596558	2320.944092
Sample_TB-2463-31A_XenofilteR.38	-	contig001683	-	16434	17015	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.39	-	contig001697	+	3598	3965	3.000000	1091.443970	2180.774902
Sample_TB-2463-31A_XenofilteR.40	-	contig001733	-	8434	8738	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.41	-	contig001738	+	4291	4586	1.787736	650.404541	1299.549927
Sample_TB-2463-31A_XenofilteR.42	-	contig001757	+	22931	23487	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.43	-	contig001769	-	8778	9225	1.605634	584.153137	1167.175415
Sample_TB-2463-31A_XenofilteR.44	-	contig001775	-	7955	8259	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.45	-	contig001775	-	10891	11170	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.46	-	contig001784	-	1173	1523	2.000000	727.629272	1453.849976
Sample_TB-2463-31A_XenofilteR.47	-	contig001793	+	3983	4313	1.258772	457.959686	915.032776
Sample_TB-2463-31A_XenofilteR.48	-	contig001815	+	15271	15954	1.013793	368.832733	736.951416
Sample_TB-2463-31A_XenofilteR.49	-	contig001852	-	9382	10004	1.923434	699.773438	1398.192139
Sample_TB-2463-31A_XenofilteR.50	-	contig001858	-	3128	3460	1.000000	363.814636	726.924988
Sample_TB-2463-31A_XenofilteR.51	-	contig001921	+	10892	11856	2.307018	839.326904	1677.028931
Sample_TB-2463-31A_XenofilteR.52	-	contig001934	-	9365	10147	2.052632	746.777588	1492.109497
