Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-35B_XenofilteR.1	-	contig001381	+	9262	9612	20.020073	1441.728516	2038.257324
Sample_TB-2463-35B_XenofilteR.2	-	contig001381	+	12871	13129	254.193527	18457.669922	26094.703125
Sample_TB-2463-35B_XenofilteR.3	-	contig001976	-	36	255	115.476257	8427.530273	11914.500000
Sample_TB-2463-35B_XenofilteR.4	-	contig002710	-	573	1222	1236.357666	79105.523438	111836.179688
Sample_TB-2463-35B_XenofilteR.5	-	contig002721	+	5652	5854	10.556650	899.589600	1271.803223
Sample_TB-2463-35B_XenofilteR.6	-	contig002721	+	8967	9477	8.023483	606.239380	857.076538
Sample_TB-2463-35B_XenofilteR.7	-	contig002715	-	2	425	308.364685	25789.429688	36460.046875
Sample_TB-2463-35B_XenofilteR.8	-	contig002715	-	2123	2772	1243.268799	79704.859375	112683.500000
Sample_TB-2463-35B_XenofilteR.9	-	contig002997	+	13289	13537	1357.057007	86716.218750	122595.867188
Sample_TB-2463-35B_XenofilteR.10	-	contig003869	.	11478	11696	0.000477	1621.827515	2292.873779
Sample_TB-2463-35B_XenofilteR.11	-	contig004237	-	1006	1657	1191.219604	76174.132812	107691.906250
Sample_TB-2463-35B_XenofilteR.12	-	contig006570	-	571	1226	1168.479126	76103.804688	107592.460938
Sample_TB-2463-35B_XenofilteR.13	-	contig008316	-	151	731	965.865234	63459.402344	89716.320312
Sample_TB-2463-35B_XenofilteR.14	-	contig008316	+	811	2197	824.836670	59916.226562	84707.125000
Sample_TB-2463-35B_XenofilteR.15	-	contig008316	+	3685	4229	1608.717896	102771.445312	145294.093750
Sample_TB-2463-35B_XenofilteR.16	-	contig000693	+	17473	17697	118.109169	8158.878906	11534.690430
Sample_TB-2463-35B_XenofilteR.17	-	contig000878	+	284	536	4.934788	329.222931	465.441986
Sample_TB-2463-35B_XenofilteR.18	-	contig000879	+	7877	8227	19.267935	1384.596680	1957.486694
Sample_TB-2463-35B_XenofilteR.19	-	contig000879	+	8535	8749	258.625031	16265.616211	22995.667969
