Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-34A_XenofilteR.1	-	contig001381	-	9207	9583	8.948534	1777.742798	2705.290527
Sample_TB-2463-34A_XenofilteR.2	-	contig001381	-	12871	13118	151.182770	27543.875000	41915.046875
Sample_TB-2463-34A_XenofilteR.3	-	contig001381	.	13912	14129	0.003870	8846.020508	13461.483398
Sample_TB-2463-34A_XenofilteR.4	-	contig001976	-	34	270	271.286713	6894.647461	10491.969727
Sample_TB-2463-34A_XenofilteR.5	-	contig002710	-	573	1222	2783.169922	63758.906250	97025.484375
Sample_TB-2463-34A_XenofilteR.6	-	contig002721	+	5193	5855	86.552032	2038.566528	3102.200439
Sample_TB-2463-34A_XenofilteR.7	-	contig002721	+	8967	9462	27.829638	815.995728	1241.746216
Sample_TB-2463-34A_XenofilteR.8	-	contig002715	-	4	425	1291.694336	39575.789062	60224.691406
Sample_TB-2463-34A_XenofilteR.9	-	contig002715	-	2123	2772	2798.753906	64294.078125	97839.882812
Sample_TB-2463-34A_XenofilteR.10	-	contig002997	+	13296	13537	3212.530762	73639.906250	112061.953125
Sample_TB-2463-34A_XenofilteR.11	-	contig003869	-	7040	7338	467.845520	10879.487305	16555.921875
Sample_TB-2463-34A_XenofilteR.12	-	contig003869	-	8054	8521	568.633118	13282.583984	20212.847656
Sample_TB-2463-34A_XenofilteR.13	-	contig003869	+	11017	11249	155.668533	14770.866211	22477.652344
Sample_TB-2463-34A_XenofilteR.14	-	contig003869	-	11548	11942	60.092598	1461.783325	2224.477295
Sample_TB-2463-34A_XenofilteR.15	-	contig004237	-	1006	1657	2660.240723	60986.480469	92806.531250
Sample_TB-2463-34A_XenofilteR.16	-	contig006570	-	571	1226	2593.825684	59801.210938	91002.835938
Sample_TB-2463-34A_XenofilteR.17	-	contig000693	+	17463	17699	284.091187	6933.109863	10550.500977
Sample_TB-2463-34A_XenofilteR.18	-	contig000878	+	284	536	26.750359	631.399719	960.836121
Sample_TB-2463-34A_XenofilteR.19	-	contig000879	+	7878	8348	50.197021	1254.388550	1908.873047
Sample_TB-2463-34A_XenofilteR.20	-	contig008316	-	151	731	3850.519287	89798.375000	136651.187500
Sample_TB-2463-34A_XenofilteR.21	-	contig008316	+	2957	3160	599.016602	14100.949219	21458.201172
Sample_TB-2463-34A_XenofilteR.22	-	contig008316	+	3612	4379	4099.863281	94049.507812	143120.375000
