Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-44B_XenofilteR.1	-	contig001381	+	9147	10134	157.952652	2781.466064	4760.839844
Sample_TB-2463-44B_XenofilteR.2	-	contig001381	+	12646	13211	525.033691	9713.194336	16625.390625
Sample_TB-2463-44B_XenofilteR.3	-	contig001381	+	13866	14217	266.994720	4836.516113	8278.324219
Sample_TB-2463-44B_XenofilteR.4	-	contig001976	-	34	263	436.127808	8206.259766	14046.077148
Sample_TB-2463-44B_XenofilteR.5	-	contig002710	-	573	1215	4099.467285	72073.062500	123362.390625
Sample_TB-2463-44B_XenofilteR.6	-	contig002721	+	9101	9516	13.885818	336.606659	576.145935
Sample_TB-2463-44B_XenofilteR.7	-	contig002721	+	5209	5855	60.374035	1101.101074	1884.677002
Sample_TB-2463-44B_XenofilteR.8	-	contig002715	-	2	425	1815.216431	39645.195312	67857.890625
Sample_TB-2463-44B_XenofilteR.9	-	contig002715	-	941	2765	3325.786621	63542.097656	108760.531250
Sample_TB-2463-44B_XenofilteR.10	-	contig002997	+	13063	13538	2450.823975	43162.394531	73878.031250
Sample_TB-2463-44B_XenofilteR.11	-	contig003869	-	6952	7339	480.417969	8980.118164	15370.635742
Sample_TB-2463-44B_XenofilteR.12	-	contig003869	-	7969	8542	488.995697	8639.993164	14788.467773
Sample_TB-2463-44B_XenofilteR.13	-	contig003869	-	11011	11294	396.614105	8822.592773	15101.010742
Sample_TB-2463-44B_XenofilteR.14	-	contig003869	-	11548	11963	52.455139	1008.576965	1726.310181
Sample_TB-2463-44B_XenofilteR.15	-	contig004237	-	1006	1650	4004.912842	70347.976562	120409.671875
Sample_TB-2463-44B_XenofilteR.16	-	contig006570	-	572	1219	3764.956055	67060.187500	114782.187500
Sample_TB-2463-44B_XenofilteR.17	-	contig000693	+	17470	17699	444.378784	8004.472168	13700.691406
Sample_TB-2463-44B_XenofilteR.18	-	contig000878	+	284	536	14.429522	282.422241	483.402252
Sample_TB-2463-44B_XenofilteR.19	-	contig000879	-	7823	8308	6.788345	797.035583	1364.229614
Sample_TB-2463-44B_XenofilteR.20	-	contig000879	+	8535	8749	624.920715	10828.693359	18534.710938
Sample_TB-2463-44B_XenofilteR.21	-	contig008316	+	812	2197	2861.649414	57591.070312	98574.578125
Sample_TB-2463-44B_XenofilteR.22	-	contig008316	+	2957	3160	614.989746	11175.324219	19128.015625
Sample_TB-2463-44B_XenofilteR.23	-	contig008316	+	3484	4379	4792.230957	85302.210938	146005.796875
